"OldName","NewName","OldFullName","NewFullName"
"logo.png","logo.webp","C:\Users\Admin\Desktop\Ecosystem\Admin_Web_Panel\src\assets\logo.png","C:\Users\Admin\Desktop\Ecosystem\Admin_Web_Panel\src\assets\logo.webp"
"wordmark.png","wordmark.webp","C:\Users\Admin\Desktop\Ecosystem\Admin_Web_Panel\src\assets\wordmark.png","C:\Users\Admin\Desktop\Ecosystem\Admin_Web_Panel\src\assets\wordmark.webp"
"App.png","App.webp","C:\Users\Admin\Desktop\Ecosystem\Pequire_Website\frontend\src\assets\App.png","C:\Users\Admin\Desktop\Ecosystem\Pequire_Website\frontend\src\assets\App.webp"
"Banner.png","Banner.webp","C:\Users\Admin\Desktop\Ecosystem\Pequire_Website\frontend\src\assets\Banner.png","C:\Users\Admin\Desktop\Ecosystem\Pequire_Website\frontend\src\assets\Banner.webp"
"Letters.png","Letters.webp","C:\Users\Admin\Desktop\Ecosystem\Pequire_Website\frontend\src\assets\Letters.png","C:\Users\Admin\Desktop\Ecosystem\Pequire_Website\frontend\src\assets\Letters.webp"
"Logo.png","Logo.webp","C:\Users\Admin\Desktop\Ecosystem\Pequire_Website\frontend\src\assets\Logo.png","C:\Users\Admin\Desktop\Ecosystem\Pequire_Website\frontend\src\assets\Logo.webp"
"Provider.png","Provider.webp","C:\Users\Admin\Desktop\Ecosystem\Pequire_Website\frontend\src\assets\Provider.png","C:\Users\Admin\Desktop\Ecosystem\Pequire_Website\frontend\src\assets\Provider.webp"
"Quality_image.png","Quality_image.webp","C:\Users\Admin\Desktop\Ecosystem\Pequire_Website\frontend\src\assets\Quality_image.png","C:\Users\Admin\Desktop\Ecosystem\Pequire_Website\frontend\src\assets\Quality_image.webp"
"SP_image.png","SP_image.webp","C:\Users\Admin\Desktop\Ecosystem\Pequire_Website\frontend\src\assets\SP_image.png","C:\Users\Admin\Desktop\Ecosystem\Pequire_Website\frontend\src\assets\SP_image.webp"
"StatsCurve.png","StatsCurve.webp","C:\Users\Admin\Desktop\Ecosystem\Pequire_Website\frontend\src\assets\StatsCurve.png","C:\Users\Admin\Desktop\Ecosystem\Pequire_Website\frontend\src\assets\StatsCurve.webp"
"toolbox.png","toolbox.webp","C:\Users\Admin\Desktop\Ecosystem\Pequire_Website\frontend\src\assets\toolbox.png","C:\Users\Admin\Desktop\Ecosystem\Pequire_Website\frontend\src\assets\toolbox.webp"
"wordmark.png","wordmark.webp","C:\Users\Admin\Desktop\Ecosystem\Pequire_Website\frontend\src\assets\wordmark.png","C:\Users\Admin\Desktop\Ecosystem\Pequire_Website\frontend\src\assets\wordmark.webp"
"logo.png","logo.webp","C:\Users\Admin\Desktop\Ecosystem\Provider_App\assets\images\logos\logo.png","C:\Users\Admin\Desktop\Ecosystem\Provider_App\assets\images\logos\logo.webp"
"Wordmark.png","Wordmark.webp","C:\Users\Admin\Desktop\Ecosystem\Provider_App\assets\images\logos\Wordmark.png","C:\Users\Admin\Desktop\Ecosystem\Provider_App\assets\images\logos\Wordmark.webp"
"slide1.png","slide1.webp","C:\Users\Admin\Desktop\Ecosystem\Provider_App\assets\images\onboarding\slide1.png","C:\Users\Admin\Desktop\Ecosystem\Provider_App\assets\images\onboarding\slide1.webp"
"slide2.png","slide2.webp","C:\Users\Admin\Desktop\Ecosystem\Provider_App\assets\images\onboarding\slide2.png","C:\Users\Admin\Desktop\Ecosystem\Provider_App\assets\images\onboarding\slide2.webp"
"slide3.png","slide3.webp","C:\Users\Admin\Desktop\Ecosystem\Provider_App\assets\images\onboarding\slide3.png","C:\Users\Admin\Desktop\Ecosystem\Provider_App\assets\images\onboarding\slide3.webp"
"onboarding_1.png","onboarding_1.webp","C:\Users\Admin\Desktop\Ecosystem\Provider_App\assets\images\onboarding_1.png","C:\Users\Admin\Desktop\Ecosystem\Provider_App\assets\images\onboarding_1.webp"
"onboarding_2.png","onboarding_2.webp","C:\Users\Admin\Desktop\Ecosystem\Provider_App\assets\images\onboarding_2.png","C:\Users\Admin\Desktop\Ecosystem\Provider_App\assets\images\onboarding_2.webp"
"onboarding_3.png","onboarding_3.webp","C:\Users\Admin\Desktop\Ecosystem\Provider_App\assets\images\onboarding_3.png","C:\Users\Admin\Desktop\Ecosystem\Provider_App\assets\images\onboarding_3.webp"
"login_bg.jpg","login_bg.webp","C:\Users\Admin\Desktop\Ecosystem\User_app\assets\login_bg.jpg","C:\Users\Admin\Desktop\Ecosystem\User_app\assets\login_bg.webp"
"logo.png","logo.webp","C:\Users\Admin\Desktop\Ecosystem\User_app\assets\logo.png","C:\Users\Admin\Desktop\Ecosystem\User_app\assets\logo.webp"
"onboarding_pricing.jpg","onboarding_pricing.webp","C:\Users\Admin\Desktop\Ecosystem\User_app\assets\onboarding_pricing.jpg","C:\Users\Admin\Desktop\Ecosystem\User_app\assets\onboarding_pricing.webp"
"onboarding_professionals.jpg","onboarding_professionals.webp","C:\Users\Admin\Desktop\Ecosystem\User_app\assets\onboarding_professionals.jpg","C:\Users\Admin\Desktop\Ecosystem\User_app\assets\onboarding_professionals.webp"
"onboarding_snap_solve.jpg","onboarding_snap_solve.webp","C:\Users\Admin\Desktop\Ecosystem\User_app\assets\onboarding_snap_solve.jpg","C:\Users\Admin\Desktop\Ecosystem\User_app\assets\onboarding_snap_solve.webp"
"profile_avatar.png","profile_avatar.webp","C:\Users\Admin\Desktop\Ecosystem\User_app\assets\profile_avatar.png","C:\Users\Admin\Desktop\Ecosystem\User_app\assets\profile_avatar.webp"
"wordmark.png","wordmark.webp","C:\Users\Admin\Desktop\Ecosystem\User_app\assets\wordmark.png","C:\Users\Admin\Desktop\Ecosystem\User_app\assets\wordmark.webp"
